Date,App_Name,Category,Minutes_Used
2026-07-19,Instagram,Social Media,95
2026-07-19,YouTube,Entertainment,80
2026-07-19,VS Code,Coding,120
2026-07-19,Coursera,Education,55
2026-07-19,WhatsApp,Social Media,40
2026-07-20,Instagram,Social Media,110
2026-07-20,YouTube,Entertainment,90
2026-07-20,VS Code,Coding,150
2026-07-20,Coursera,Education,45
2026-07-20,WhatsApp,Social Media,35
2026-07-21,Instagram,Social Media,75
2026-07-21,YouTube,Entertainment,65
2026-07-21,VS Code,Coding,180
2026-07-21,Coursera,Education,60
2026-07-21,WhatsApp,Social Media,30
2026-07-22,Instagram,Social Media,130
2026-07-22,YouTube,Entertainment,100
2026-07-22,VS Code,Coding,90
2026-07-22,Coursera,Education,40
2026-07-22,WhatsApp,Social Media,45
2026-07-23,Instagram,Social Media,85
2026-07-23,YouTube,Entertainment,70
2026-07-23,VS Code,Coding,160
2026-07-23,Coursera,Education,75
2026-07-23,WhatsApp,Social Media,35
2026-07-24,Instagram,Social Media,150
2026-07-24,YouTube,Entertainment,120
2026-07-24,VS Code,Coding,80
2026-07-24,Coursera,Education,35
2026-07-24,WhatsApp,Social Media,50
2026-07-25,Instagram,Social Media,70
2026-07-25,YouTube,Entertainment,60
2026-07-25,VS Code,Coding,190
2026-07-25,Coursera,Education,80
2026-07-25,WhatsApp,Social Media,25
2026-07-26,Instagram,Social Media,125
2026-07-26,YouTube,Entertainment,95
2026-07-26,VS Code,Coding,100
2026-07-26,Coursera,Education,50
2026-07-26,WhatsApp,Social Media,40
2026-07-27,Instagram,Social Media,65
2026-07-27,YouTube,Entertainment,55
2026-07-27,VS Code,Coding,200
2026-07-27,Coursera,Education,90
2026-07-27,WhatsApp,Social Media,30
2026-07-28,Instagram,Social Media,140
2026-07-28,YouTube,Entertainment,110
2026-07-28,VS Code,Coding,70
2026-07-28,Coursera,Education,45
2026-07-28,WhatsApp,Social Media,50
2026-07-29,Instagram,Social Media,80
2026-07-29,YouTube,Entertainment,65
2026-07-29,VS Code,Coding,175
2026-07-29,Coursera,Education,70
2026-07-29,WhatsApp,Social Media,30
2026-07-30,Instagram,Social Media,105
2026-07-30,YouTube,Entertainment,85
2026-07-30,VS Code,Coding,130
2026-07-30,Coursera,Education,60
2026-07-30,WhatsApp,Social Media,40
2026-07-31,Instagram,Social Media,155
2026-07-31,YouTube,Entertainment,125
2026-07-31,VS Code,Coding,65
2026-07-31,Coursera,Education,40
2026-07-31,WhatsApp,Social Media,55
2026-08-01,Instagram,Social Media,90
2026-08-01,YouTube,Entertainment,75
2026-08-01,VS Code,Coding,165
2026-08-01,Coursera,Education,85
2026-08-01,WhatsApp,Social Media,35
